_id,No,Provinsi,Perpustakaan Khusus Predikat A,Perpustakaan Khusus Predikat B,Perpustakaan Khusus Predikat C,Jumlah Perpustakaan Khusus Terakreditasi,Perpustakaan Sekolah Predikat A,Perpustakaan Sekolah Predikat B,Perpustakaan Sekolah Predikat C,Jumlah Perpustakaan Sekolah Terakreditasi,Perpustakaan Perguruan Tinggi Predikat A,Perpustakaan Perguruan Tinggi Predikat B,Perpustakaan Perguruan Tinggi Predikat C,Jumlah Perpustakaan Perguruan Tinggi Terakreditasi,Perpustakaan Umum Predikat A,Perpustakaan Umum Predikat B,Perpustakaan Umum Predikat C,Jumlah Perpustakaan Umum Terakreditasi,Jumlah Perpustakaan Terakreditasi
1,1,Aceh,,3,11,14,,12,71,83,4,8,9,21,,2,23,25,143
2,2,Bali,1,2,7,10,3,18,120,141,2,4,4,10,2,7,11,20,181
3,3,Bangka Belitung,,,7,7,12,80,715,807,3,2,5,10,2,11,19,32,856
4,4,Banten,,5,4,9,9,26,87,122,4,6,3,13,1,4,9,14,158
5,5,Bengkulu,,1,5,6,2,11,681,694,5,1,3,9,1,1,6,8,717
6,6,DIY,1,8,7,16,312,75,126,513,29,8,8,45,13,9,364,386,960
7,7,DKI Jakarta,4,11,7,22,5,13,132,150,19,11,5,35,,4,7,11,218
8,8,Gorontalo,,1,2,3,4,32,46,82,2,5,3,10,,8,6,14,109
9,9,Jambi,,2,3,5,,9,66,75,,2,21,23,,3,10,13,116
10,10,Jawa Barat,4,5,13,22,30,48,230,308,26,21,16,63,7,14,35,56,449
11,11,Jawa Tengah,3,5,14,22,214,214,162,590,29,71,34,134,20,28,32,80,826
12,12,Jawa Timur,,5,7,12,171,143,1173,1487,46,20,15,81,10,7,61,78,1658
13,13,Kalimantan Barat,1,,7,8,2,19,52,73,,3,8,11,1,10,8,19,111
14,14,Kalimantan Selatan,,2,8,10,7,19,66,92,3,2,15,20,7,8,25,40,162
15,15,Kalimantan Tengah,,,4,4,2,8,14,24,,4,4,8,,5,17,22,58
16,16,Kalimantan Timur,2,3,6,11,29,62,79,170,4,2,6,12,2,9,5,16,209
17,17,Kalimantan Utara,,,,,1,,117,118,,1,,1,,1,6,7,126
18,18,Kepulauan Riau,1,1,,2,,,429,429,1,,2,3,2,,1,3,437
19,19,Lampung,1,1,9,11,2,21,97,120,4,3,6,13,,4,12,16,160
20,20,Maluku,,,1,1,,,1,1,,1,,1,,2,8,10,13
21,21,Maluku Utara,,,,,,,2,2,,,,,,3,8,11,13
22,22,NTB,,1,5,6,3,12,92,107,2,3,8,13,,5,20,25,151
23,23,NTT,,2,4,6,,1,14,15,,2,4,6,,7,17,24,51
24,24,Papua,1,,2,3,,1,41,42,1,1,2,4,,4,18,22,71
25,25,Papua Barat,,,,,1,1,175,177,1,,,1,,2,12,14,192
26,26,Riau,,2,8,10,53,36,99,188,7,11,15,33,5,12,16,33,264
27,27,Sulawesi Barat,,,4,4,,4,14,18,,1,4,5,,,12,12,39
28,28,Sulawesi Selatan,1,2,10,13,16,25,103,144,7,9,11,27,1,12,14,27,211
29,29,Sulawesi Tengah,,,5,5,,1,9,10,,1,1,2,,4,10,14,31
30,30,Sulawesi Tenggara,,,3,3,2,12,681,695,,4,3,7,1,3,18,22,727
31,31,Sulawesi Utara,,1,,1,1,2,417,420,,1,1,2,,2,13,15,438
32,32,Sumatera Barat,,2,7,9,8,56,215,279,4,9,6,19,,10,29,39,346
33,33,Sumatera Selatan,1,2,11,14,8,56,346,410,4,10,14,28,1,2,7,10,462
34,34,Sumatera Utara,2,5,6,13,3,13,60,76,15,6,9,30,1,3,8,12,131
35,,Grand Total,23,72,187,282,900,1030,6732,8662,222,233,245,700,77,206,867,1150,10794
